v3.74	Dec 16 20:36:28 2019	 x0	1000	0.356	CYC:  0 (k=0)	RND:	a                       example sequence (  87 ch) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:37:39 2019	 x0	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_20.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:37:39 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_21.txt ( 100 bp) REC:1000	 53	   0: N/A
v3.74	Dec 16 20:37:40 2019	 x0	1000	0.500	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_22.txt ( 100 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:37:40 2019	 x0	1000	0.480	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_23.txt ( 100 bp) REC:1000	 48	   1: bslip type 5
v3.74	Dec 16 20:37:40 2019	 x0	1000	0.360	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_24.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:41 2019	 x0	1000	0.400	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v343_25.txt ( 100 bp) REC:1000	 40	   1: bslip type 1
v3.74	Dec 16 20:37:41 2019	 x0	1000	0.430	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_03.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:41 2019	 x0	1000	0.340	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_05.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:37:41 2019	 x0	1000	0.510	CYC:  3 (k=3)	RND:	i    waves/tubespit/tubespit_v344_06.txt ( 100 bp) REC:1000	 51	   0: N/A
v3.74	Dec 16 20:37:42 2019	 x0	1000	0.410	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_01.txt ( 100 bp) REC:1000	 41	   0: N/A
v3.74	Dec 16 20:37:42 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_02.txt ( 100 bp) REC:1000	 53	   0: N/A
v3.74	Dec 16 20:37:42 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_04.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:43 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_07.txt ( 100 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:37:43 2019	 x0	1000	0.520	CYC:  1 (k=2)	RND:	i    waves/tubespit/tubespit_v344_08.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:37:43 2019	 x0	1000	0.450	CYC:  1 (k=2)	RND:	i    waves/tubespit/tubespit_v344_09.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:43 2019	 x0	1000	0.540	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_10.txt ( 100 bp) REC:1000	 54	   0: N/A
v3.74	Dec 16 20:37:44 2019	 x0	1000	0.450	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_11.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:44 2019	 x0	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_12.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:37:44 2019	 x0	1000	0.430	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_13.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:45 2019	 x0	1000	0.320	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_14.txt ( 100 bp) REC:1000	 32	   0: N/A
v3.74	Dec 16 20:37:45 2019	 x0	1000	0.390	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_15.txt ( 100 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:37:45 2019	 x0	1000	0.360	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_16.txt ( 100 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:45 2019	 x0	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_17.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:37:46 2019	 x0	1000	0.400	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_18.txt ( 100 bp) REC:1000	 40	   0: N/A
v3.74	Dec 16 20:37:46 2019	 x0	1000	0.450	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_19.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:46 2019	 x0	1000	0.430	CYC:  5 (k=3)	RND:	i    waves/tubespit/tubespit_v344_20.txt ( 100 bp) REC:1000	 43	   0: N/A
v3.74	Dec 16 20:37:47 2019	 x0	1000	0.280	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_21.txt ( 100 bp) REC:1000	 28	   0: N/A
v3.74	Dec 16 20:37:47 2019	 x0	1000	0.340	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_22.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:37:47 2019	 x0	1000	0.470	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_23.txt ( 100 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:37:48 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_24.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:37:48 2019	 x0	1000	0.320	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_25.txt ( 100 bp) REC:1000	 32	   1: bslip type 4
v3.74	Dec 16 20:37:48 2019	 x0	1000	0.580	CYC:  2 (k=3)	RND:	i    waves/tubespit/tubespit_v344_26.txt ( 100 bp) REC:1000	 58	   0: N/A
v3.74	Dec 16 20:37:48 2019	 x0	1000	0.410	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_27.txt ( 100 bp) REC:1000	 41	   1: bslip type 1
v3.74	Dec 16 20:37:49 2019	 x0	1000	0.410	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_28.txt ( 100 bp) REC:1000	 41	   1: bslip type 5
v3.74	Dec 16 20:37:49 2019	 x0	1000	0.460	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_29.txt ( 100 bp) REC:1000	 46	   1: bslip type 5
v3.74	Dec 16 20:37:49 2019	 x0	1000	0.390	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_30.txt ( 100 bp) REC:1000	 39	   0: N/A
v3.74	Dec 16 20:37:50 2019	 x0	1000	0.490	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_31.txt ( 100 bp) REC:1000	 49	   0: N/A
v3.74	Dec 16 20:37:50 2019	 x0	1000	0.450	CYC:  7 (k=3)	RND:	i    waves/tubespit/tubespit_v344_32.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:50 2019	 x0	1000	0.420	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_33.txt ( 100 bp) REC:1000	 42	   1: bslip type 1
v3.74	Dec 16 20:37:50 2019	 x0	1000	0.520	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_34.txt ( 100 bp) REC:1000	 52	   0: N/A
v3.74	Dec 16 20:37:51 2019	 x0	1000	0.370	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_35.txt ( 100 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:37:51 2019	 x0	1000	0.530	CYC:  0 (k=0)	RND:	i    waves/tubespit/tubespit_v344_36.txt ( 100 bp) REC:1000	 53	   0: N/A
v3.74	Dec 16 20:37:51 2019	 x1	1000	0.356	CYC:  0 (k=0)	RND:	a                       example sequence (  87 ch) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:37:52 2019	 x1	1000	0.274	CYC:  0 (k=0)	RND:	b                       example sequence (  84 ch) REC:1000	 23	   0: N/A
v3.74	Dec 16 20:37:52 2019	 x1	1000	0.255	CYC:  0 (k=0)	RND:	c                       example sequence ( 102 ch) REC:1000	 26	   0: N/A
v3.74	Dec 16 20:37:52 2019	 x1	1000	0.488	CYC:  0 (k=0)	RND:	d                       example sequence ( 121 ch) REC:1000	 59	   0: N/A
v3.74	Dec 16 20:37:52 2019	 x1	1000	0.413	CYC:  0 (k=0)	RND:	e                       example sequence ( 109 ch) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:37:53 2019	 x1	1000	0.269	CYC:  0 (k=0)	RND:	f                       example sequence ( 156 ch) REC:1000	 42	   0: N/A
v3.74	Dec 16 20:37:53 2019	 x1	1000	0.533	CYC:  0 (k=0)	RND:	g                       example sequence (  45 ch) REC:1000	 24	   0: N/A
v3.74	Dec 16 20:37:53 2019	 x1	1000	0.522	CYC:  0 (k=0)	RND:	h                       example sequence (  69 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:37:53 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dmela.txt ( 956 bp) REC:1000	430	   1: bslip type 1
v3.74	Dec 16 20:37:54 2019	 x1	1000	0.457	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dmaur.txt ( 956 bp) REC:1000	437	   1: bslip type 1
v3.74	Dec 16 20:37:55 2019	 x1	1000	0.449	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dsech.txt ( 956 bp) REC:1000	429	   1: bslip type 1
v3.74	Dec 16 20:37:55 2019	 x1	1000	0.447	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dsimu.txt ( 956 bp) REC:1000	427	   1: bslip type 1
v3.74	Dec 16 20:37:56 2019	 x1	1000	0.415	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Derec.txt ( 962 bp) REC:1000	399	   0: N/A
v3.74	Dec 16 20:37:57 2019	 x1	 992	0.405	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dsant.txt ( 959 bp) REC: 996	388	   1: bslip type 1
v3.74	Dec 16 20:37:58 2019	 x1	1000	0.392	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dyaku.txt ( 957 bp) REC:1000	375	   0: N/A
v3.74	Dec 16 20:37:58 2019	 x1	1000	0.379	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Danan.txt ( 962 bp) REC:1000	365	   1: bslip type 1
v3.74	Dec 16 20:37:59 2019	 x1	1000	0.396	CYC:  0 (k=0)	RND:	i   waves/animals/seal_vnd_ex3_Dbipe.txt ( 950 bp) REC:1000	376	   1: bslip type 5
v3.74	Dec 16 20:38:00 2019	 x1	1000	0.454	CYC:  5 (k=3)	RND:	i  waves/animals/shark_vnd_NEE_Dmela.txt (1008 bp) REC:1000	458	   1: bslip type 1
v3.74	Dec 16 20:38:02 2019	 x1	1000	0.463	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dmaur.txt (1006 bp) REC:1000	466	   1: bslip type 1
v3.74	Dec 16 20:38:03 2019	 x1	1000	0.466	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsech.txt (1002 bp) REC:1000	467	   1: bslip type 1
v3.74	Dec 16 20:38:04 2019	 x1	1000	0.464	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsimu.txt (1007 bp) REC:1000	467	   1: bslip type 1
v3.74	Dec 16 20:38:05 2019	 x1	1000	0.439	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Derec.txt (1005 bp) REC:1000	441	   1: bslip type 1
v3.74	Dec 16 20:38:06 2019	 x1	1000	0.423	CYC:  4 (k=3)	RND:	i  waves/animals/shark_vnd_NEE_Dsant.txt (1093 bp) REC:1000	462	   1: bslip type 1
v3.74	Dec 16 20:38:07 2019	 x1	1000	0.412	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dyaku.txt (1063 bp) REC:1000	438	   1: bslip type 1
v3.74	Dec 16 20:38:09 2019	 x1	1000	0.456	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dbiar.txt (1063 bp) REC:1000	485	   1: bslip type 1
v3.74	Dec 16 20:38:09 2019	 x1	1000	0.447	CYC:  0 (k=0)	RND:	i  waves/animals/shark_vnd_NEE_Dsuzu.txt (1064 bp) REC:1000	476	   1: bslip type 1
v3.74	Dec 16 20:38:10 2019	 x1	1000	0.399	CYC:  0 (k=0)	RND:	i waves/animals/shark_nab_DWME_Dmela.txt ( 764 bp) REC:1000	305	   0: N/A
v3.74	Dec 16 20:38:11 2019	 x1	1000	0.347	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-01-toslip.txt (  72 bp) REC:1000	 25	   1: bslip type 1
v3.74	Dec 16 20:38:11 2019	 x1	1000	0.364	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-02-toslip.txt (  66 bp) REC:1000	 24	   0: N/A
v3.74	Dec 16 20:38:12 2019	 x1	1000	0.557	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-03-tosSt1.txt (  61 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:38:12 2019	 x1	1000	0.408	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-04-tos-ct.txt (  71 bp) REC:1000	 29	   1: bslip type 1
v3.74	Dec 16 20:38:12 2019	 x1	1000	0.548	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-05-koshp1.txt (  62 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:38:12 2019	 x1	1000	0.449	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-06-koslip.txt ( 138 bp) REC:1000	 62	   0: N/A
v3.74	Dec 16 20:38:13 2019	 x1	1000	0.512	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-07-koslip.txt (  84 bp) REC:1000	 43	   1: bslip type 1
v3.74	Dec 16 20:38:13 2019	 x1	1000	0.370	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-08-koslp2.txt (  81 bp) REC:1000	 30	   0: N/A
v3.74	Dec 16 20:38:13 2019	 x1	1000	0.477	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-09-koslp3.txt (  65 bp) REC:1000	 31	   0: N/A
v3.74	Dec 16 20:38:14 2019	 x1	1000	0.443	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-10-cycle1.txt ( 106 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:38:14 2019	 x1	1000	0.428	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-11-cycle1.txt ( 159 bp) REC:1000	 68	   0: N/A
v3.74	Dec 16 20:38:14 2019	 x1	1000	0.418	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-12-cycle1.txt (  55 bp) REC:1000	 23	   0: N/A
v3.74	Dec 16 20:38:14 2019	 x1	1000	0.407	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-13-cycle2.txt ( 123 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:38:15 2019	 x1	1000	0.514	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-14-cycle3.txt ( 138 bp) REC:1000	 71	   0: N/A
v3.74	Dec 16 20:38:15 2019	 x1	1000	0.459	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-15-cycle4.txt ( 157 bp) REC:1000	 72	   1: bslip type 1
v3.74	Dec 16 20:38:15 2019	 x1	1000	0.309	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-16-cyc3_a.txt (  68 bp) REC:1000	 21	   0: N/A
v3.74	Dec 16 20:38:16 2019	 x1	1000	0.590	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-17-cycle5.txt (  39 bp) REC:1000	 23	   0: N/A
v3.74	Dec 16 20:38:16 2019	 x1	1000	0.514	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-18-koshp2.txt (  74 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:38:16 2019	 x1	1000	0.426	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-19-koslp4.txt (  68 bp) REC:1000	 29	   0: N/A
v3.74	Dec 16 20:38:16 2019	 x1	1000	0.390	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-20-cyc3_b.txt (  77 bp) REC:1000	 30	   0: N/A
v3.74	Dec 16 20:38:17 2019	 x1	1000	0.337	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-21-cyc3_c.txt (  95 bp) REC:1000	 32	   1: bslip type 1
v3.74	Dec 16 20:38:17 2019	 x1	1000	0.538	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-22-tosSt2.txt (  65 bp) REC:1000	 35	   0: N/A
v3.74	Dec 16 20:38:17 2019	 x1	1000	0.488	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-23-tosSt2.txt (  84 bp) REC:1000	 41	   0: N/A
v3.74	Dec 16 20:38:17 2019	 x1	1000	0.340	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-24-tosSt2.txt ( 100 bp) REC:1000	 34	   0: N/A
v3.74	Dec 16 20:38:18 2019	 x1	1000	0.369	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-25-tosSt2.txt ( 195 bp) REC:1000	 72	   0: N/A
v3.74	Dec 16 20:38:18 2019	 x1	 972	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-26-tosSt2.txt ( 400 bp) REC: 992	144	   1: bslip type 1
v3.74	Dec 16 20:38:18 2019	 x1	1000	0.445	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-27-cycleX.txt ( 400 bp) REC:1000	178	   1: bslip type 1
v3.74	Dec 16 20:38:19 2019	 x1	1000	0.308	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-28-scrtch.txt (  52 bp) REC:1000	 16	   0: N/A
v3.74	Dec 16 20:38:19 2019	 x1	 920	0.439	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-29-toslp2.txt (  57 bp) REC: 964	 25	   1: bslip type 1
v3.74	Dec 16 20:38:19 2019	 x1	1000	0.500	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-30-toslp2.txt (  56 bp) REC:1000	 28	   1: bslip type 1
v3.74	Dec 16 20:38:20 2019	 x1	1000	0.297	CYC:  1 (k=2)	RND:	i  waves/tubespit/tubespit-31-t0edge.txt (  37 bp) REC:1000	 11	   0: N/A
v3.74	Dec 16 20:38:20 2019	 x1	1000	0.430	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-32-combo1.txt ( 265 bp) REC:1000	114	   0: N/A
v3.74	Dec 16 20:38:20 2019	 x1	1000	0.545	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-33-imprf1.txt (  66 bp) REC:1000	 36	   0: N/A
v3.74	Dec 16 20:38:20 2019	 x1	1000	0.552	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-34-imprf2.txt (  67 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:38:21 2019	 x1	1000	0.638	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-35-imprf3.txt (  58 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:38:21 2019	 x1	1000	0.602	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-36-imprf4.txt (  83 bp) REC:1000	 50	   0: N/A
v3.74	Dec 16 20:38:21 2019	 x1	1000	0.473	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-37-imprfk.txt (  93 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:22 2019	 x1	1000	0.456	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-38-imprft.txt ( 103 bp) REC:1000	 47	   0: N/A
v3.74	Dec 16 20:38:22 2019	 x1	1000	0.449	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-39-imprfk.txt ( 118 bp) REC:1000	 53	   1: bslip type 1
v3.74	Dec 16 20:38:22 2019	 x1	1000	0.433	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-40-imprfk.txt ( 104 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:38:22 2019	 x1	1000	0.667	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-RNAnuc.txt (  42 nt) REC:1000	 28	   0: N/A
v3.74	Dec 16 20:38:23 2019	 x1	1000	0.524	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-notRNA.txt (  42 ch) REC:1000	 22	   0: N/A
v3.74	Dec 16 20:38:23 2019	 x1	1000	0.856	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-41-protin.txt ( 312 aa) REC:1000	267	   0: N/A
v3.74	Dec 16 20:38:23 2019	 x1	1000	0.414	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-42-fasta1.txt ( 140 bp) REC:1000	 58	   0: N/A
v3.74	Dec 16 20:38:23 2019	 x1	1000	0.856	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-42-fasta2.txt ( 312 aa) REC:1000	267	   0: N/A
v3.74	Dec 16 20:38:24 2019	 x1	1000	0.500	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-43-timprf.txt (  34 bp) REC:1000	 17	   0: N/A
v3.74	Dec 16 20:38:24 2019	 x1	1000	0.375	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-44-tosimp.txt (  88 bp) REC:1000	 33	   0: N/A
v3.74	Dec 16 20:38:24 2019	 x1	1000	0.575	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-45-cinky1.txt ( 134 bp) REC:1000	 77	   0: N/A
v3.74	Dec 16 20:38:24 2019	 x1	1000	0.434	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-46-cinky2.txt ( 182 bp) REC:1000	 79	   0: N/A
v3.74	Dec 16 20:38:25 2019	 x1	1000	0.400	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-47-cycle6.txt (  40 bp) REC:1000	 16	   0: N/A
v3.74	Dec 16 20:38:25 2019	 x1	1000	0.426	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-48-tbdslp.txt ( 122 bp) REC:1000	 52	   1: bslip type 1
v3.74	Dec 16 20:38:25 2019	 x1	1000	0.464	CYC:  5 (k=3)	RND:	i  waves/tubespit/tubespit-49-cyctip.txt ( 800 bp) REC:1000	371	   1: bslip type 4
v3.74	Dec 16 20:38:26 2019	 x1	1000	0.510	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-50-cyctip.txt ( 800 bp) REC:1000	408	   0: N/A
v3.74	Dec 16 20:38:27 2019	 x1	1000	0.365	CYC:  9 (k=3)	RND:	i  waves/tubespit/tubespit-51-cyctip.txt ( 800 bp) REC:1000	292	   0: N/A
v3.74	Dec 16 20:38:27 2019	 x1	1000	0.410	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-52-cyctip.txt ( 800 bp) REC:1000	328	   1: bslip type 1
v3.74	Dec 16 20:38:28 2019	 x1	1000	0.435	CYC:  3 (k=3)	RND:	i  waves/tubespit/tubespit-53-impkhp.txt ( 800 bp) REC:1000	348	   0: N/A
v3.74	Dec 16 20:38:29 2019	 x1	1000	0.391	CYC:  5 (k=3)	RND:	i  waves/tubespit/tubespit-54-impkhp.txt ( 800 bp) REC:1000	313	   0: N/A
v3.74	Dec 16 20:38:29 2019	 x1	 978	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-55-impkhp.txt ( 800 bp) REC: 990	368	   0: N/A
v3.74	Dec 16 20:38:30 2019	 x1	1000	0.411	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-56-tbslp2.txt ( 800 bp) REC:1000	329	   1: bslip type 4
v3.74	Dec 16 20:38:31 2019	 x1	1000	0.364	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-57-tbslp2.txt ( 800 bp) REC:1000	291	   0: N/A
v3.74	Dec 16 20:38:32 2019	 x1	1000	0.423	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-58-tcycle.txt ( 800 bp) REC:1000	338	   1: bslip type 1
v3.74	Dec 16 20:38:32 2019	 x1	 978	0.458	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-59-tcycle.txt ( 800 bp) REC: 992	366	   0: N/A
v3.74	Dec 16 20:38:33 2019	 x1	1000	0.452	CYC:  4 (k=3)	RND:	i  waves/tubespit/tubespit-60-tbslp2.txt ( 800 bp) REC:1000	362	   1: bslip type 1
v3.74	Dec 16 20:38:34 2019	 x1	1000	0.405	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-61-tghost.txt ( 800 bp) REC:1000	324	   1: bslip type 1
v3.74	Dec 16 20:38:35 2019	 x1	1000	0.370	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-62-tuckup.txt ( 100 bp) REC:1000	 37	   0: N/A
v3.74	Dec 16 20:38:35 2019	 x1	1000	0.380	CYC:  3 (k=3)	RND:	i  waves/tubespit/tubespit-63-cnudge.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:38:35 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge0.txt ( 100 bp) REC:1000	 45	   1: bslip type 4
v3.74	Dec 16 20:38:36 2019	 x1	1000	0.460	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge1.txt ( 100 bp) REC:1000	 46	   0: N/A
v3.74	Dec 16 20:38:36 2019	 x1	1000	0.440	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge2.txt ( 100 bp) REC:1000	 44	   0: N/A
v3.74	Dec 16 20:38:36 2019	 x1	1000	0.410	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge3.txt ( 100 bp) REC:1000	 41	   1: bslip type 1
v3.74	Dec 16 20:38:36 2019	 x1	1000	0.380	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge4.txt ( 100 bp) REC:1000	 38	   0: N/A
v3.74	Dec 16 20:38:37 2019	 x1	1000	0.490	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge5.txt ( 100 bp) REC:1000	 49	   1: bslip type 4
v3.74	Dec 16 20:38:37 2019	 x1	1000	0.450	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge6.txt ( 100 bp) REC:1000	 45	   0: N/A
v3.74	Dec 16 20:38:37 2019	 x1	1000	0.410	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge7.txt ( 100 bp) REC:1000	 41	   0: N/A
v3.74	Dec 16 20:38:43 2019	 x1	1000	0.300	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-64-sndge9.txt ( 100 bp) REC:1000	 30	   0: N/A
v3.74	Dec 16 20:38:43 2019	 x1	1000	0.360	CYC:  0 (k=0)	RND:	i  waves/tubespit/tubespit-65-consen.txt ( 100 bp) REC:1000	 36	   1: bslip type 5
v3.74	Dec 16 20:38:43 2019	 x1	1000	0.340	CYC:  3 (k=3)	RND:	i  waves/tubespit/tubespit-66-consen.txt ( 100 bp) REC:1000	 34	   0: N/A
